Idx_Sample;Mixture Code in Ref;FA (kg/m3);GGBFS (kg/m3);Total powder (kg/m3);Coarse aggregate (kg/m3);Fine aggregate (kg/m3);Total aggregates (kg);NaOH (kg);water-eff (kg);Weight mixture (kg);Initial curing temp (C);CO2 emissions (kg/m3) - a-priori;f,c(28d) (MPa) - MD1 Target
1520;FA-60 GGBS- 40 B-450 AGG/B-3.85 ALK/B-0.50 T ºC - 25;270;180;450;971,9619525;760,5380475;1732,5;64,28571429;148,5321429;2436,293571;25;173,4854657;
1521;FA-50 GGBS- 50 B-360 AGG/B-5.18 ALK/B-0.50 T ºC - 25;180;180;360;1090,844597;773,9554032;1864,8;51,42857143;118,8257143;2427,842857;25;142,8243886;
1522;FA-50 GGBS- 50 B-370 AGG/B-5.02 ALK/B-0.50 T ºC - 25;185;185;370;1081,558448;775,8415522;1857,4;52,85714286;122,1264286;2436,080714;25;146,5048571;
1523;FA-50 GGBS- 50 B-380 AGG/B-4.86 ALK/B-0.50 T ºC - 25;190;190;380;1070,455144;776,3448564;1846,8;54,28571429;125,4271429;2441,118571;25;150,1699657;
1524;FA-50 GGBS- 50 B-390 AGG/B-4.70 ALK/B-0.50 T ºC - 25;195;195;390;1057,564014;775,435986;1833;55,71428571;128,7278571;2442,966429;25;153,8319343;
1525;FA-50 GGBS- 50 B-400 AGG/B-4.54 ALK/B-0.50 T ºC - 25;200;200;400;1043,045024;772,954976;1816;57,14285714;132,0285714;2441,604286;25;157,4663229;
1526;FA-50 GGBS- 50 B-410 AGG/B-4.38 ALK/B-0.50 T ºC - 25;205;205;410;1026,649881;769,150119;1795,8;58,57142857;135,3292857;2437,042143;25;161,0853514;
1527;FA-50 GGBS- 50 B-420 AGG/B-4.23 ALK/B-0.50 T ºC - 25;210;210;420;1010,929815;765,670185;1776,6;60;138,63;2433,48;25;164,70918;
1528;FA-50 GGBS- 50 B-430 AGG/B-4.10 ALK/B-0.50 T ºC - 25;215;215;430;967,961046;795,038954;1763;61,42857143;141,9307143;2435,517857;25;168,3598886;
1529;FA-50 GGBS- 50 B-440 AGG/B-3.97 ALK/B-0.50 T ºC - 25;220;220;440;969,4600256;777,3399744;1746,8;62,85714286;145,2314286;2434,955714;25;171,9981171;
1530;FA-50 GGBS- 50 B-450 AGG/B-3.85 ALK/B-0.50 T ºC - 25;225;225;450;971,9619525;760,5380475;1732,5;64,28571429;148,5321429;2436,293571;25;175,6454657;
1531;FA-70 GGBS- 30 B-360 AGG/B-5.18 ALK/B-0.55 T ºC - 25;252;108;360;1090,844597;773,9554032;1864,8;56,57142857;129,8442857;2445,837143;25;149,0331914;
1532;FA-70 GGBS- 30 B-370 AGG/B-5.02 ALK/B-0.55 T ºC - 25;259;111;370;1081,558448;775,8415522;1857,4;58,14285714;133,4510714;2454,586786;25;152,9007229;
1533;FA-70 GGBS- 30 B-380 AGG/B-4.86 ALK/B-0.55 T ºC - 25;266;114;380;1070,455144;776,3448564;1846,8;59,71428571;137,0578571;2460,126429;25;156,7406743;
1534;FA-70 GGBS- 30 B-390 AGG/B-4.70 ALK/B-0.55 T ºC - 25;273;117;390;1057,564014;775,435986;1833;61,28571429;140,6646429;2462,456071;25;160,5530457;
1535;FA-70 GGBS- 30 B-400 AGG/B-4.54 ALK/B-0.55 T ºC - 25;280;120;400;1043,045024;772,954976;1816;62,85714286;144,2714286;2461,595714;25;164,3622771;27,77
1536;FA-70 GGBS- 30 B-410 AGG/B-4.38 ALK/B-0.55 T ºC - 25;287;123;410;1026,649881;769,150119;1795,8;64,42857143;147,8782143;2457,535357;25;168,1561486;
1537;FA-70 GGBS- 30 B-420 AGG/B-4.23 ALK/B-0.55 T ºC - 25;294;126;420;1010,929815;765,670185;1776,6;66;151,485;2454,485;25;171,96704;
1538;FA-70 GGBS- 30 B-430 AGG/B-4.10 ALK/B-0.55 T ºC - 25;301;129;430;967,961046;795,038954;1763;67,57142857;155,0917857;2457,024643;25;175,7925914;
1539;FA-70 GGBS- 30 B-440 AGG/B-3.97 ALK/B-0.55 T ºC - 25;308;132;440;969,4600256;777,3399744;1746,8;69,14285714;158,6985714;2456,964286;25;179,6056629;
1540;FA-70 GGBS- 30 B-450 AGG/B-3.85 ALK/B-0.55 T ºC - 25;315;135;450;971,9619525;760,5380475;1732,5;70,71428571;162,3053571;2458,803929;25;183,4278543;
1541;FA-60 GGBS- 40 B-360 AGG/B-5.18 ALK/B-0.55 T ºC - 25;216;144;360;1090,844597;773,9554032;1864,8;56,57142857;129,8442857;2445,837143;25;150,7611914;
1542;FA-60 GGBS- 40 B-370 AGG/B-5.02 ALK/B-0.55 T ºC - 25;222;148;370;1081,558448;775,8415522;1857,4;58,14285714;133,4510714;2454,586786;25;154,6767229;
