Idx_Sample;Mixture Code in Ref;FA (kg/m3);GGBFS (kg/m3);Total powder (kg/m3);Coarse aggregate (kg/m3);Fine aggregate (kg/m3);Total aggregates (kg);NaOH (kg);water-eff (kg);Weight mixture (kg);Initial curing temp (C);CO2 emissions (kg/m3) - a-priori;f,c(28d) (MPa) - MD1 Target
1431;FA-50 GGBS- 50 B-450 AGG/B-3.85 ALK/B-0.45 T ºC - 25;225;225;450;972;760,5;1732,5;57,85714286;134,7589286;2413,793214;25;163,5552971;
1432;FA-50 GGBS- 50 B-450 AGG/B-3.85 ALK/B-0.50 T ºC - 25;225;225;450;972;760,5;1732,5;64,28571429;148,5321429;2436,293571;25;175,6454657;
1433;FA-50 GGBS- 50 B-450 AGG/B-3.85 ALK/B-0.55 T ºC - 25;225;225;450;972;760,5;1732,5;70,71428571;162,3053571;2458,803929;25;187,7478543;
1434;FA-50 GGBS- 50 B-450 AGG/B-3.85 ALK/B-0.60 T ºC - 25;225;225;450;972;760,5;1732,5;77,14285714;176,0785714;2481,304286;25;199,8380229;47,5817
1435;FA-70 GGBS- 30 B-360 AGG/B-5.18 ALK/B-0.45 T ºC - 60;252;108;360;1090,8;774;1864,8;46,28571429;107,8071429;2409,838571;60;152,149699;
1436;FA-70 GGBS- 30 B-360 AGG/B-5.18 ALK/B-0.50 T ºC - 60;252;108;360;1090,8;774;1864,8;51,42857143;118,8257143;2427,842857;60;161,8267219;
1437;FA-70 GGBS- 30 B-360 AGG/B-5.18 ALK/B-0.55 T ºC - 60;252;108;360;1090,8;774;1864,8;56,57142857;129,8442857;2445,837143;60;171,4915248;
1438;FA-70 GGBS- 30 B-360 AGG/B-5.18 ALK/B-0.60 T ºC - 60;252;108;360;1090,8;774;1864,8;61,71428571;140,8628571;2463,841429;60;181,1685476;
1439;FA-70 GGBS- 30 B-420 AGG/B-4.23 ALK/B-0.45 T ºC - 60;294;126;420;966;810,6;1776,6;54;125,775;2412,485;60;171,8578733;
1440;FA-70 GGBS- 30 B-420 AGG/B-4.23 ALK/B-0.50 T ºC - 60;294;126;420;966;810,6;1776,6;60;138,63;2433,48;60;183,1355133;
1441;FA-70 GGBS- 30 B-420 AGG/B-4.23 ALK/B-0.55 T ºC - 60;294;126;420;966;810,6;1776,6;66;151,485;2454,485;60;194,4253733;
1442;FA-70 GGBS- 30 B-420 AGG/B-4.23 ALK/B-0.60 T ºC - 60;294;126;420;966;810,6;1776,6;72;164,34;2475,48;60;205,7030133;
1443;FA-70 GGBS- 30 B-450 AGG/B-3.85 ALK/B-0.45 T ºC - 60;315;135;450;972;760,5;1732,5;57,85714286;134,7589286;2413,793214;60;181,6936305;38,6601
1444;FA-70 GGBS- 30 B-450 AGG/B-3.85 ALK/B-0.50 T ºC - 60;315;135;450;972;760,5;1732,5;64,28571429;148,5321429;2436,293571;60;193,783799;
1445;FA-70 GGBS- 30 B-450 AGG/B-3.85 ALK/B-0.55 T ºC - 60;315;135;450;972;760,5;1732,5;70,71428571;162,3053571;2458,803929;60;205,8861876;
1446;FA-70 GGBS- 30 B-450 AGG/B-3.85 ALK/B-0.60 T ºC - 60;315;135;450;972;760,5;1732,5;77,14285714;176,0785714;2481,304286;60;217,9763562;
1447;FA-60 GGBS- 40 B-360 AGG/B-5.18 ALK/B-0.45 T ºC - 60;216;144;360;1090,8;774;1864,8;46,28571429;107,8071429;2409,838571;60;153,877699;
1448;FA-60 GGBS- 40 B-360 AGG/B-5.18 ALK/B-0.50 T ºC - 60;216;144;360;1090,8;774;1864,8;51,42857143;118,8257143;2427,842857;60;163,5547219;
1449;FA-60 GGBS- 40 B-360 AGG/B-5.18 ALK/B-0.55 T ºC - 60;216;144;360;1090,8;774;1864,8;56,57142857;129,8442857;2445,837143;60;173,2195248;
1450;FA-60 GGBS- 40 B-360 AGG/B-5.18 ALK/B-0.60 T ºC - 60;216;144;360;1090,8;774;1864,8;61,71428571;140,8628571;2463,841429;60;182,8965476;
1451;FA-60 GGBS- 40 B-420 AGG/B-4.23 ALK/B-0.45 T ºC - 60;252;168;420;966;810,6;1776,6;54;125,775;2412,485;60;173,8738733;
1452;FA-60 GGBS- 40 B-420 AGG/B-4.23 ALK/B-0.50 T ºC - 60;252;168;420;966;810,6;1776,6;60;138,63;2433,48;60;185,1515133;
1453;FA-60 GGBS- 40 B-420 AGG/B-4.23 ALK/B-0.55 T ºC - 60;252;168;420;966;810,6;1776,6;66;151,485;2454,485;60;196,4413733;
1454;FA-60 GGBS- 40 B-420 AGG/B-4.23 ALK/B-0.60 T ºC - 60;252;168;420;966;810,6;1776,6;72;164,34;2475,48;60;207,7190133;
1455;FA-60 GGBS- 40 B-450 AGG/B-3.85 ALK/B-0.45 T ºC - 60;270;180;450;972;760,5;1732,5;57,85714286;134,7589286;2413,793214;60;183,8536305;
1456;FA-60 GGBS- 40 B-450 AGG/B-3.85 ALK/B-0.50 T ºC - 60;270;180;450;972;760,5;1732,5;64,28571429;148,5321429;2436,293571;60;195,943799;
1457;FA-60 GGBS- 40 B-450 AGG/B-3.85 ALK/B-0.55 T ºC - 60;270;180;450;972;760,5;1732,5;70,71428571;162,3053571;2458,803929;60;208,0461876;
1458;FA-60 GGBS- 40 B-450 AGG/B-3.85 ALK/B-0.60 T ºC - 60;270;180;450;972;760,5;1732,5;77,14285714;176,0785714;2481,304286;60;220,1363562;49,8693
1459;FA-50 GGBS- 50 B-360 AGG/B-5.18 ALK/B-0.45 T ºC - 60;180;180;360;1090,8;774;1864,8;46,28571429;107,8071429;2409,838571;60;155,605699;
1460;FA-50 GGBS- 50 B-360 AGG/B-5.18 ALK/B-0.50 T ºC - 60;180;180;360;1090,8;774;1864,8;51,42857143;118,8257143;2427,842857;60;165,2827219;
1461;FA-50 GGBS- 50 B-360 AGG/B-5.18 ALK/B-0.55 T ºC - 60;180;180;360;1090,8;774;1864,8;56,57142857;129,8442857;2445,837143;60;174,9475248;
1462;FA-50 GGBS- 50 B-360 AGG/B-5.18 ALK/B-0.60 T ºC - 60;180;180;360;1090,8;774;1864,8;61,71428571;140,8628571;2463,841429;60;184,6245476;
1463;FA-50 GGBS- 50 B-420 AGG/B-4.23 ALK/B-0.45 T ºC - 60;210;210;420;966;810,6;1776,6;54;125,775;2412,485;60;175,8898733;
1464;FA-50 GGBS- 50 B-420 AGG/B-4.23 ALK/B-0.50 T ºC - 60;210;210;420;966;810,6;1776,6;60;138,63;2433,48;60;187,1675133;
1465;FA-50 GGBS- 50 B-420 AGG/B-4.23 ALK/B-0.55 T ºC - 60;210;210;420;966;810,6;1776,6;66;151,485;2454,485;60;198,4573733;
1466;FA-50 GGBS- 50 B-420 AGG/B-4.23 ALK/B-0.60 T ºC - 60;210;210;420;966;810,6;1776,6;72;164,34;2475,48;60;209,7350133;
1467;FA-50 GGBS- 50 B-450 AGG/B-3.85 ALK/B-0.45 T ºC - 60;225;225;450;972;760,5;1732,5;57,85714286;134,7589286;2413,793214;60;186,0136305;
1468;FA-50 GGBS- 50 B-450 AGG/B-3.85 ALK/B-0.50 T ºC - 60;225;225;450;972;760,5;1732,5;64,28571429;148,5321429;2436,293571;60;198,103799;
1469;FA-50 GGBS- 50 B-450 AGG/B-3.85 ALK/B-0.55 T ºC - 60;225;225;450;972;760,5;1732,5;70,71428571;162,3053571;2458,803929;60;210,2061876;
1470;FA-50 GGBS- 50 B-450 AGG/B-3.85 ALK/B-0.60 T ºC - 60;225;225;450;972;760,5;1732,5;77,14285714;176,0785714;2481,304286;60;222,2963562;
1471;FA-70 GGBS- 30 B-360 AGG/B-5.18 ALK/B-0.45 T ºC - 25;252;108;360;1090,844597;773,9554032;1864,8;46,28571429;107,8071429;2409,838571;25;129,6913657;
1472;FA-70 GGBS- 30 B-370 AGG/B-5.02 ALK/B-0.45 T ºC - 25;259;111;370;1081,558448;775,8415522;1857,4;47,57142857;110,8017857;2417,584643;25;133,0172114;
1473;FA-70 GGBS- 30 B-380 AGG/B-4.86 ALK/B-0.45 T ºC - 25;266;114;380;1070,455144;776,3448564;1846,8;48,85714286;113,7964286;2422,120714;25;136,3154771;
1474;FA-70 GGBS- 30 B-390 AGG/B-4.70 ALK/B-0.45 T ºC - 25;273;117;390;1057,564014;775,435986;1833;50,14285714;116,7910714;2423,466786;25;139,6106029;
1475;FA-70 GGBS- 30 B-400 AGG/B-4.54 ALK/B-0.45 T ºC - 25;280;120;400;1043,045024;772,954976;1816;51,42857143;119,7857143;2421,602857;25;142,8781486;
1476;FA-70 GGBS- 30 B-410 AGG/B-4.38 ALK/B-0.45 T ºC - 25;287;123;410;1026,649881;769,150119;1795,8;52,71428571;122,7803571;2416,548929;25;146,1425543;
1477;FA-70 GGBS- 30 B-420 AGG/B-4.23 ALK/B-0.45 T ºC - 25;294;126;420;1010,929815;765,670185;1776,6;54;125,775;2412,485;25;149,39954;
1478;FA-70 GGBS- 30 B-430 AGG/B-4.10 ALK/B-0.45 T ºC - 25;301;129;430;967,961046;795,038954;1763;55,28571429;128,7696429;2414,011071;25;152,6711857;
1479;FA-70 GGBS- 30 B-440 AGG/B-3.97 ALK/B-0.45 T ºC - 25;308;132;440;969,4600256;777,3399744;1746,8;56,57142857;131,7642857;2412,957143;25;155,9547914;
1480;FA-70 GGBS- 30 B-450 AGG/B-3.85 ALK/B-0.45 T ºC - 25;315;135;450;971,9619525;760,5380475;1732,5;57,85714286;134,7589286;2413,793214;25;159,2352971;
1481;FA-60 GGBS- 40 B-360 AGG/B-5.18 ALK/B-0.45 T ºC - 25;216;144;360;1090,844597;773,9554032;1864,8;46,28571429;107,8071429;2409,838571;25;131,4193657;
1482;FA-60 GGBS- 40 B-370 AGG/B-5.02 ALK/B-0.45 T ºC - 25;222;148;370;1081,558448;775,8415522;1857,4;47,57142857;110,8017857;2417,584643;25;134,7932114;
1483;FA-60 GGBS- 40 B-380 AGG/B-4.86 ALK/B-0.45 T ºC - 25;228;152;380;1070,455144;776,3448564;1846,8;48,85714286;113,7964286;2422,120714;25;138,1394771;
1484;FA-60 GGBS- 40 B-390 AGG/B-4.70 ALK/B-0.45 T ºC - 25;234;156;390;1057,564014;775,435986;1833;50,14285714;116,7910714;2423,466786;25;141,4826029;
1485;FA-60 GGBS- 40 B-400 AGG/B-4.54 ALK/B-0.45 T ºC - 25;240;160;400;1043,045024;772,954976;1816;51,42857143;119,7857143;2421,602857;25;144,7981486;
1486;FA-60 GGBS- 40 B-410 AGG/B-4.38 ALK/B-0.45 T ºC - 25;246;164;410;1026,649881;769,150119;1795,8;52,71428571;122,7803571;2416,548929;25;148,1105543;
1487;FA-60 GGBS- 40 B-420 AGG/B-4.23 ALK/B-0.45 T ºC - 25;252;168;420;1010,929815;765,670185;1776,6;54;125,775;2412,485;25;151,41554;
1488;FA-60 GGBS- 40 B-430 AGG/B-4.10 ALK/B-0.45 T ºC - 25;258;172;430;967,961046;795,038954;1763;55,28571429;128,7696429;2414,011071;25;154,7351857;
